title,type,genres1,genres2,genres3,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries1
The Fifth Element,movie,Action, Adventure, Sci-Fi,1997,tt0119116,7.6,517121,AT
Kill Bill: Vol. 1,movie,Action, Crime, Thriller,2003,tt0266697,8.2,1221791,AE
Jarhead,movie,Biography, Drama, War,2005,tt0418763,7,211547,AD
Eternal Sunshine of the Spotless Mind,movie,Drama, Romance, Sci-Fi,2004,tt0338013,8.3,1103711,AD
A History of Violence,movie,Action, Crime, Drama,2005,tt0399146,7.4,258997,AD
Talk to Her,movie,Drama, Mystery, Romance,2002,tt0287467,7.9,118711,AG
Paradise Now,movie,Crime, Drama, Thriller,2005,tt0445620,7.4,24303,AE
War of the Worlds,movie,Action, Adventure, Sci-Fi,2005,tt0407304,6.5,482841,AG
Hero,movie,Action, Adventure, Drama,2002,tt0299977,7.9,189191,HK
Nausicaä of the Valley of the Wind,movie,Adventure, Animation, Sci-Fi,1984,tt0087544,8,186768,AD
Dirty Dancing,movie,Drama, Music, Romance,1987,tt0092890,7.1,263244,CA
Beverly Hills Cop,movie,Action, Comedy, Crime,1984,tt0086960,7.4,219776,IT
Beverly Hills Cop II,movie,Action, Comedy, Crime,1987,tt0092644,6.6,141058,IT
Gladiator,movie,Action, Adventure, Drama,2000,tt0172495,8.5,1670968,CA
All About My Mother,movie,Comedy, Drama, Romance,1999,tt0185125,7.8,104743,ES
"Lock, Stock and Two Smoking Barrels",movie,Action, Comedy, Crime,1998,tt0120735,8.1,625462,BE
Léon: The Professional,movie,Action, Crime, Drama,1994,tt0110413,8.5,1272906,CA
Run Lola Run,movie,Action, Crime, Thriller,1998,tt0130827,7.6,210445,AT
Italian for Beginners,movie,Comedy, Drama, Romance,2000,tt0243862,7,14044,DK
Charlie and the Chocolate Factory,movie,Adventure, Comedy, Family,2005,tt0367594,6.7,540431,AD
The Lord of the Rings: The Fellowship of the Ring,movie,Action, Adventure, Drama,2001,tt0120737,8.9,2056157,CH
The Lord of the Rings: The Two Towers,movie,Action, Adventure, Drama,2002,tt0167261,8.8,1826836,CH
The Lord of the Rings: The Return of the King,movie,Action, Adventure, Drama,2003,tt0167260,9,2026332,CH
Princess Mononoke,movie,Action, Adventure, Animation,1997,tt0119698,8.3,445747,AD
Spirited Away,movie,Adventure, Animation, Family,2001,tt0245429,8.6,877732,AD
"O Brother, Where Art Thou?",movie,Comedy, Crime, Drama,2000,tt0190590,7.7,336353,AU
Groundhog Day,movie,Comedy, Drama, Fantasy,1993,tt0107048,8,699067,AD
Akira,movie,Action, Animation, Drama,1988,tt0094625,8,210513,AG
The Dark Knight,movie,Action, Crime, Drama,2008,tt0468569,9,2941593,AD
Saw,movie,Horror, Mystery, Thriller,2004,tt0387564,7.6,479827,AL
Jackie Brown,movie,Crime, Drama, Thriller,1997,tt0119396,7.5,382559,AE
Sin City: A Dame to Kill For,movie,Action, Crime, Thriller,2014,tt0458481,6.5,172608,AU
The Name of the Rose,movie,Drama, Mystery, Thriller,1986,tt0091605,7.7,119857,ES
The Wages of Fear,movie,Adventure, Drama, Thriller,1953,tt0046268,8.1,68092,AD
Saw III,movie,Horror, Mystery, Thriller,2006,tt0489270,6.2,217354,AL
Stand by Me,movie,Adventure, Comedy, Drama,1986,tt0092005,8.1,452593,AE
Batman Begins,movie,Action, Crime, Drama,2005,tt0372784,8.2,1611586,AD
Terminator 2: Judgment Day,movie,Action, Adventure, Sci-Fi,1991,tt0103064,8.6,1201359,AD
Swimming Pool,movie,Crime, Drama, Mystery,2003,tt0324133,6.7,49122,BG
Beverly Hills Cop III,movie,Action, Comedy, Crime,1994,tt0109254,5.5,96004,ES
Catwoman,movie,Action, Crime, Fantasy,2004,tt0327554,3.4,127580,BE
Mystic River,movie,Crime, Drama, Mystery,2003,tt0327056,7.9,494625,AD
A Fistful of Dollars,movie,Action, Drama, Western,1964,tt0058461,7.9,238412,AT
Kill Bill: Vol. 2,movie,Action, Crime, Thriller,2004,tt0378194,8,822406,AE
The Pianist,movie,Biography, Drama, Music,2002,tt0253474,8.5,937612,AR
The Day After Tomorrow,movie,Action, Adventure, Sci-Fi,2004,tt0319262,6.5,487839,AD
A Beautiful Mind,movie,Biography, Drama, Mystery,2001,tt0268978,8.2,1003980,AL
Sissi,movie,Comedy, Drama, History,1955,tt0048624,7,10222,AT
Sissi: The Fateful Years of an Empress,movie,Drama, History, Romance,1957,tt0050974,6.6,6126,AT
As It Is in Heaven,movie,Comedy, Drama, Music,2004,tt0382330,7.5,18462,DK
The African Queen,movie,Adventure, Drama, Romance,1951,tt0043265,7.7,85582,BG
The Green Mile,movie,Crime, Drama, Fantasy,1999,tt0120689,8.6,1443437,AD
Poseidon,movie,Action, Adventure, Thriller,2006,tt0409182,5.7,111756,JP
Monster,movie,Biography, Crime, Drama,2003,tt0340855,7.3,165059,KR
Marnie,movie,Crime, Drama, Mystery,1964,tt0058329,7.1,55022,AG
Love Actually,movie,Comedy, Drama, Romance,2003,tt0314331,7.6,538130,AD
Notting Hill,movie,Comedy, Drama, Romance,1999,tt0125439,7.2,352616,AD
Wallace & Gromit: The Curse of the Were-Rabbit,movie,Adventure, Animation, Comedy,2005,tt0312004,7.5,148695,US
Terminator Salvation,movie,Action, Adventure, Sci-Fi,2009,tt0438488,6.5,381934,AO
Flashdance,movie,Drama, Music, Romance,1983,tt0085549,6.2,60753,AZ
Psycho,movie,Horror, Mystery, Thriller,1960,tt0054215,8.5,735026,US
Rashomon,movie,Crime, Drama, Mystery,1950,tt0042876,8.2,184746,JP
Spider-Man,movie,Action, Adventure, Sci-Fi,2002,tt0145487,7.4,901137,AD
Spider-Man 2,movie,Action, Adventure, Sci-Fi,2004,tt0316654,7.5,727554,AD
Spider-Man 3,movie,Action, Adventure, Sci-Fi,2007,tt0413300,6.3,653068,AD
Constantine,movie,Action, Fantasy, Horror,2005,tt0360486,7,383320,AD
The Mummy,movie,Action, Adventure, Fantasy,1999,tt0120616,7.1,472339,AD
The Birds,movie,Drama, Horror, Mystery,1963,tt0056869,7.6,209460,AG
Jaws,movie,Adventure, Drama, Thriller,1975,tt0073195,8.1,678496,AD
Jaws 2,movie,Adventure, Horror, Thriller,1978,tt0077766,5.8,86644,US
The Lives of Others,movie,Drama, Mystery, Thriller,2006,tt0405094,8.4,417598,AT
2 Fast 2 Furious,movie,Action, Crime, Thriller,2003,tt0322259,5.9,303587,AD
Big Fish,movie,Adventure, Drama, Fantasy,2003,tt0319061,8,464260,JP
The Terminal,movie,Comedy, Drama, Romance,2004,tt0362227,7.4,505053,AG
E.T. the Extra-Terrestrial,movie,Adventure, Family, Sci-Fi,1982,tt0083866,7.9,445744,CA
Men in Black,movie,Action, Adventure, Comedy,1997,tt0119654,7.3,625956,AD
Men in Black II,movie,Action, Adventure, Comedy,2002,tt0120912,6.2,411551,AD
Munich,movie,Action, Drama, History,2005,tt0408306,7.5,243069,AD
Wild Things,movie,Crime, Drama, Mystery,1998,tt0120890,6.6,133806,IN
The Bodyguard,movie,Action, Drama, Music,1992,tt0103855,6.4,150909,JP
Ghostbusters,movie,Action, Comedy, Fantasy,1984,tt0087332,7.8,462361,DZ
Interview with the Vampire,movie,Drama, Fantasy, Horror,1994,tt0110148,7.5,356037,AD
Bridget Jones's Diary,movie,Comedy, Drama, Romance,2001,tt0243155,6.8,268703,AU
Life Is Beautiful,movie,Comedy, Drama, Romance,1997,tt0118799,8.6,758271,IT
Catch Me If You Can,movie,Biography, Crime, Drama,2002,tt0264464,8.1,1128297,TZ
Final Fantasy VII: Advent Children,movie,Action, Adventure, Animation,2005,tt0385700,7.1,58589,SG
Saw IV,movie,Horror, Mystery, Thriller,2007,tt0890870,5.9,168440,AL
Oldboy,movie,Action, Drama, Mystery,2003,tt0364569,8.3,655231,HK
Harry Potter and the Sorcerer's Stone,movie,Adventure, Family, Fantasy,2001,tt0241527,7.6,878077,AU
Harry Potter and the Chamber of Secrets,movie,Adventure, Family, Fantasy,2002,tt0295297,7.4,709074,AU
Harry Potter and the Prisoner of Azkaban,movie,Adventure, Family, Fantasy,2004,tt0304141,7.9,709116,AU
Harry Potter and the Goblet of Fire,movie,Adventure, Family, Fantasy,2005,tt0330373,7.7,697777,AU
Harry Potter and the Order of the Phoenix,movie,Action, Adventure, Family,2007,tt0373889,7.5,648417,AU
The Piano,movie,Drama, Music, Romance,1993,tt0107822,7.5,96734,AU
Together,movie,Comedy, Drama, Romance,2000,tt0203166,7.4,24660,DK
The Last Emperor,movie,Biography, Drama, History,1987,tt0093389,7.7,113488,HK
V for Vendetta,movie,Action, Drama, Sci-Fi,2005,tt0434409,8.1,1196301,CH
Monty Python and the Holy Grail,movie,Adventure, Comedy, Fantasy,1975,tt0071853,8.2,578637,FR
Harry Potter and the Half-Blood Prince,movie,Action, Adventure, Family,2009,tt0417741,7.6,610298,AU
Goodfellas,movie,Biography, Crime, Drama,1990,tt0099685,8.7,1288439,AU
Gandhi,movie,Biography, Drama, History,1982,tt0083987,8,241887,PT
Kolya,movie,Comedy, Drama, Music,1996,tt0116790,7.7,16402,CZ
Mr. & Mrs. Smith,movie,Action, Comedy, Crime,2005,tt0356910,6.5,553835,AL
Closely Watched Trains,movie,Comedy, Drama, Romance,1966,tt0060802,7.6,14120,CZ
City of Angels,movie,Drama, Fantasy, Romance,1998,tt0120632,6.7,129661,AD
Se7en,movie,Crime, Drama, Mystery,1995,tt0114369,8.6,1849313,AD
Austin Powers: The Spy Who Shagged Me,movie,Action, Adventure, Comedy,1999,tt0145660,6.7,252916,BA
Chinatown,movie,Drama, Mystery, Thriller,1974,tt0071315,8.1,357242,AG
Underworld: Evolution,movie,Action, Fantasy, Thriller,2006,tt0401855,6.7,211784,FJ
Dune,movie,Action, Adventure, Sci-Fi,1984,tt0087182,6.3,183505,AT
2046,movie,Drama, Romance, Sci-Fi,2004,tt0212712,7.4,62669,KR
The Mask,movie,Action, Comedy, Crime,1994,tt0110475,7,433612,AD
Black Hawk Down,movie,Action, Drama, History,2001,tt0265086,7.7,431268,AD
Sleepless in Seattle,movie,Comedy, Drama, Romance,1993,tt0108160,6.8,194256,LU
The Running Man,movie,Action, Sci-Fi, Thriller,1987,tt0093894,6.6,171575,AZ
A Man for All Seasons,movie,Biography, Drama, History,1966,tt0060665,7.7,37923,AZ
All the President's Men,movie,Drama, History, Thriller,1976,tt0074119,7.9,128717,AU
Cinderella Man,movie,Biography, Drama, Romance,2005,tt0352248,8,201167,AG
Godzilla,movie,Action, Sci-Fi, Thriller,1998,tt0120685,5.4,206512,AZ
Lawrence of Arabia,movie,Adventure, Biography, Drama,1962,tt0056172,8.3,321461,AE
Kindergarten Cop,movie,Action, Comedy, Crime,1990,tt0099938,6.2,165510,CA
Mission: Impossible,movie,Action, Adventure, Thriller,1996,tt0117060,7.2,478975,AD
Mission: Impossible II,movie,Action, Adventure, Thriller,2000,tt0120755,6.1,384185,AD
Mission: Impossible III,movie,Action, Adventure, Thriller,2006,tt0317919,6.9,396840,AE
Seven Years in Tibet,movie,Adventure, Biography, Drama,1997,tt0120102,7.1,158877,AL
Irreversible,movie,Crime, Drama, Mystery,2002,tt0290673,7.3,151256,KR
Point Break,movie,Action, Crime, Thriller,1991,tt0102685,7.3,208448,KR
The Thirteenth Floor,movie,Mystery, Sci-Fi, Thriller,1999,tt0139809,7,78572,KR
The Prestige,movie,Drama, Mystery, Sci-Fi,2006,tt0482571,8.5,1474913,CY
Dreamgirls,movie,Drama, Music, Musical,2006,tt0443489,6.6,78150,AZ
Hannibal Rising,movie,Adventure, Crime, Drama,2007,tt0367959,6.1,117592,AT
Ghost Rider,movie,Action, Fantasy, Thriller,2007,tt0259324,5.3,256754,AE
Letters from Iwo Jima,movie,Action, Adventure, Drama,2006,tt0498380,7.8,171864,CH
The Host,movie,Drama, Horror, Sci-Fi,2006,tt0468492,7.1,135401,KR
Bridge to Terabithia,movie,Drama, Family, Fantasy,2007,tt0398808,7.2,177795,IT
Street Kings,movie,Action, Crime, Thriller,2008,tt0421073,6.8,122544,ES
TMNT,movie,Action, Adventure, Animation,2007,tt0453556,6.2,70111,AU
3-Iron,movie,Crime, Drama, Romance,2004,tt0423866,7.9,59081,KR
Torrente 2: Mission in Marbella,movie,Action, Comedy, Crime,2001,tt0257231,6.4,8109,ES
American Psycho,movie,Crime, Drama, Horror,2000,tt0144084,7.6,748830,AL
Frida,movie,Biography, Drama, Romance,2002,tt0120679,7.3,96705,HR
First Blood,movie,Action, Adventure, Thriller,1982,tt0083944,7.7,282313,AR
Rambo: First Blood Part II,movie,Action, Adventure, Thriller,1985,tt0089880,6.5,186096,AR
Rambo III,movie,Action, Adventure, Thriller,1988,tt0095956,5.8,142578,AR
Blood Diamond,movie,Adventure, Drama, Thriller,2006,tt0450259,8,596675,AD
Pan's Labyrinth,movie,Drama, Fantasy, War,2006,tt0457430,8.2,713237,KR
The Departed,movie,Crime, Drama, Thriller,2006,tt0407887,8.5,1451513,AD
Perfume: The Story of a Murderer,movie,Crime, Drama, Fantasy,2006,tt0396171,7.5,269249,AE
Once Upon a Time in Mexico,movie,Action, Crime, Thriller,2003,tt0285823,6.3,171586,IS
Hellboy,movie,Action, Adventure, Fantasy,2004,tt0167190,6.9,356489,AG
Miss Congeniality,movie,Action, Comedy, Crime,2000,tt0212346,6.3,235325,CA
Curse of the Golden Flower,movie,Action, Drama, Romance,2006,tt0473444,7,46364,HK
Spy Game,movie,Action, Crime, Thriller,2001,tt0266987,7.1,170057,KR
Collateral,movie,Action, Crime, Drama,2004,tt0369339,7.5,440838,US
The Spanish Apartment,movie,Comedy, Drama, Romance,2002,tt0283900,7.3,43103,EE
Resident Evil,movie,Action, Horror, Sci-Fi,2002,tt0120804,6.6,294417,AE
Resident Evil: Apocalypse,movie,Action, Horror, Sci-Fi,2004,tt0318627,6.1,213042,AE
Secret Window,movie,Drama, Mystery, Thriller,2004,tt0363988,6.5,212882,AD
Bring It On,movie,Comedy, Romance, Sport,2000,tt0204946,6.1,108311,KR
Primal Fear,movie,Crime, Drama, Mystery,1996,tt0117381,7.7,253017,HR
Hitman,movie,Action, Crime, Thriller,2007,tt0465494,6.2,180775,AD
Free Willy,movie,Adventure, Drama, Family,1993,tt0106965,6,84576,BE
The Island,movie,Action, Sci-Fi, Thriller,2005,tt0399201,6.8,331308,AD
The Net,movie,Action, Crime, Drama,1995,tt0113957,6,75426,AZ
The Motorcycle Diaries,movie,Adventure, Biography, Drama,2004,tt0318462,7.7,105625,TW
The Legend of Zorro,movie,Action, Adventure, Romance,2005,tt0386140,6,109263,AD
The Incredible Hulk,movie,Action, Adventure, Sci-Fi,2008,tt0800080,6.6,532990,AD
Iron Man,movie,Action, Adventure, Sci-Fi,2008,tt0371746,7.9,1148506,AD
The Forbidden Kingdom,movie,Action, Adventure, Fantasy,2008,tt0865556,6.5,110546,ID
The Mummy Returns,movie,Action, Adventure, Fantasy,2001,tt0209163,6.4,352040,AD
The Mummy: Tomb of the Dragon Emperor,movie,Action, Adventure, Fantasy,2008,tt0859163,5.2,173222,JP
Next,movie,Action, Sci-Fi, Thriller,2007,tt0435705,6.2,168478,ID
Footloose,movie,Drama, Music, Romance,1984,tt0087277,6.6,95815,AZ
The Devil's Advocate,movie,Drama, Fantasy, Mystery,1997,tt0118971,7.5,411954,AD
50 First Dates,movie,Comedy, Drama, Romance,2004,tt0343660,6.8,390193,AT
Russian Dolls,movie,Comedy, Drama, Romance,2005,tt0409184,7,21473,BG
Fantomas Unleashed,movie,Adventure, Comedy, Crime,1965,tt0059168,6.8,8521,AD
Fantomas,movie,Adventure, Comedy, Crime,1964,tt0058089,6.9,12461,AD
Fantomas vs. Scotland Yard,movie,Adventure, Comedy, Crime,1967,tt0060400,6.7,8117,AD
Fear and Loathing in Las Vegas,movie,Adventure, Comedy, Drama,1998,tt0120669,7.5,306140,AU
The Karate Kid,movie,Action, Drama, Family,1984,tt0087538,7.3,251716,AD
Marie Antoinette,movie,Biography, Drama, History,2006,tt0422720,6.5,124785,AG
Traffic,movie,Crime, Drama, Thriller,2000,tt0181865,7.6,222417,AU
In Good Company,movie,Comedy, Drama, Romance,2004,tt0385267,6.5,56981,US
Open Your Eyes,movie,Drama, Mystery, Sci-Fi,1997,tt0125659,7.7,74265,ES
The Amazing Spider-Man,movie,Action, Adventure, Sci-Fi,2012,tt0948470,6.9,717610,AD
Stomp the Yard,movie,Drama, Music, Romance,2007,tt0775539,5.4,26628,BE
The Others,movie,Horror, Mystery, Thriller,2001,tt0230600,7.6,402011,AD
An Unfinished Life,movie,Drama, Family, Romance,2005,tt0350261,7,34520,AD
Crank,movie,Action, Crime, Thriller,2006,tt0479884,6.9,267585,AE
Zodiac,movie,Crime, Drama, Mystery,2007,tt0443706,7.7,616882,AD
The Butterfly Effect,movie,Drama, Sci-Fi, Thriller,2004,tt0289879,7.6,530586,KR
Enough,movie,Crime, Drama, Thriller,2002,tt0278435,5.8,48746,AD
A Perfect Murder,movie,Crime, Drama, Thriller,1998,tt0120787,6.6,93796,AD
Alexander,movie,Action, Biography, Drama,2004,tt0346491,5.6,178329,KR
The Constant Gardener,movie,Drama, Mystery, Romance,2005,tt0387131,7.3,150453,AD
Paranoid Park,movie,Crime, Drama, Mystery,2007,tt0842929,6.6,32192,KR
Death Proof,movie,Action, Drama, Thriller,2007,tt1028528,7,319368,AU
We Own the Night,movie,Action, Crime, Drama,2007,tt0498399,6.8,94100,CA
Persepolis,movie,Animation, Biography, Drama,2007,tt0808417,8,101447,AE
Hard Target,movie,Action, Crime, Thriller,1993,tt0107076,6.2,57889,AD
The Patriot,movie,Action, Drama, History,2000,tt0187393,7.2,298915,AL
A Few Days with Me,movie,Comedy, Drama, Romance,1988,tt0095943,7,1250,BG
Training Day,movie,Crime, Drama, Thriller,2001,tt0139654,7.8,483904,BE
The Lake House,movie,Drama, Fantasy, Romance,2006,tt0410297,6.8,159622,DZ
Romeo Must Die,movie,Action, Crime, Thriller,2000,tt0165929,6.1,74511,IT
The Last Castle,movie,Action, Drama, Thriller,2001,tt0272020,6.9,86583,SG
Requiem,movie,Action, Crime, Horror,2001,tt0286917,5,553,BG
Rush Hour,movie,Action, Comedy, Crime,1998,tt0120812,7,302686,AD
Sophie Scholl: The Final Days,movie,Biography, Crime, Drama,2005,tt0426578,7.6,28929,AT
The Perfect Storm,movie,Action, Adventure, Drama,2000,tt0177971,6.5,181220,CH
The Storm Riders,movie,Action, Adventure, Fantasy,1998,tt0165499,6.3,4188,HK
Kiss of the Dragon,movie,Action, Crime, Thriller,2001,tt0271027,6.6,67363,AT
The Glass House,movie,Crime, Drama, Mystery,2001,tt0221218,5.8,40597,AE
Heartbreak Hotel,movie,Comedy, Drama, Music,2006,tt0785002,5.4,1684,DK
Unfaithful,movie,Drama, Romance, Thriller,2002,tt0250797,6.7,100723,AR
Eastern Promises,movie,Crime, Drama, Thriller,2007,tt0765443,7.6,266216,AT
The Golden Compass,movie,Adventure, Family, Fantasy,2007,tt0385752,6.1,198681,AD
The General's Daughter,movie,Crime, Drama, Mystery,1999,tt0144214,6.4,64793,JP
Mr. Magorium's Wonder Emporium,movie,Comedy, Family, Fantasy,2007,tt0457419,6.2,48092,AU
Cold Mountain,movie,Adventure, Drama, Romance,2003,tt0159365,7.2,158292,AD
Space Jam,movie,Adventure, Animation, Comedy,1996,tt0117705,6.5,218115,BA
The Wounded Man,movie,Crime, Drama, Romance,1983,tt0084085,6.6,1363,BG
Beowulf,movie,Action, Adventure, Animation,2007,tt0442933,6.3,175844,JP
In the Name of the King: A Dungeon Siege Tale,movie,Action, Adventure, Fantasy,2007,tt0460780,3.8,51643,CA
Executive Decision,movie,Action, Adventure, Thriller,1996,tt0116253,6.5,62469,JP
Field of Dreams,movie,Drama, Family, Fantasy,1989,tt0097351,7.5,131671,US
Taxi,movie,Action, Comedy, Crime,1998,tt0152930,7,91101,TW
Taxi 2,movie,Action, Comedy, Crime,2000,tt0183869,6.5,60103,TW
Taxi 3,movie,Action, Comedy, Crime,2003,tt0295721,5.8,46408,TW
Taxi 4,movie,Action, Comedy, Crime,2007,tt0804540,5.6,31321,TW
Asterix at the Olympic Games,movie,Adventure, Comedy, Family,2008,tt0463872,5.2,33141,AT
Joint Security Area,movie,Action, Drama, Thriller,2000,tt0260991,7.7,35195,KR
The Nativity Story,movie,Adventure, Drama, Family,2006,tt0762121,6.8,12429,IT
Tie Me Up! Tie Me Down!,movie,Comedy, Crime, Drama,1989,tt0101026,7,32650,ES
The Bourne Identity,movie,Action, Mystery, Thriller,2002,tt0258463,7.8,585953,AE
The Bourne Supremacy,movie,Action, Mystery, Thriller,2004,tt0372183,7.7,493734,AE
The Bourne Ultimatum,movie,Action, Mystery, Thriller,2007,tt0440963,8,665144,AE
Spanglish,movie,Comedy, Drama, Romance,2004,tt0371246,6.4,89520,BE
The Specialist,movie,Action, Drama, Thriller,1994,tt0111255,5.6,70785,JP
The Game,movie,Drama, Mystery, Thriller,1997,tt0119174,7.7,441131,AD
The Other Side of the Bed,movie,Comedy, Drama, Musical,2002,tt0301524,6.4,5883,AD
Indochine,movie,Drama, Romance, War,1992,tt0104507,7,11133,EE
The Chronicles of Riddick,movie,Action, Adventure, Sci-Fi,2004,tt0296572,6.6,245257,AD
Rumor Has It...,movie,Comedy, Drama, Romance,2005,tt0398375,5.5,62553,GB
As Good as It Gets,movie,Comedy, Drama, Romance,1997,tt0119822,7.7,323852,AD
Hairspray,movie,Comedy, Drama, Musical,2007,tt0427327,6.7,140402,AU
One on Top of the Other,movie,Horror, Mystery, Thriller,1969,tt0065148,6.6,2769,BG
The Man Between,movie,Crime, Drama, Film-Noir,1953,tt0046031,7,2641,CY
1408,movie,Fantasy, Horror, Mystery,2007,tt0450385,6.8,300013,AL
Experiment in Evil,movie,Drama, Horror, Sci-Fi,1959,tt0053348,6.5,1322,BG
Frankenstein 90,movie,Comedy, Drama, Horror,1984,tt0087289,4.5,416,CY
Alvin and the Chipmunks Meet Frankenstein,movie,Animation, Comedy, Family,1999,tt0207957,6,1788,CA
The Horror of Frankenstein,movie,Comedy, Horror, Sci-Fi,1970,tt0065851,5.8,3017,BG
Battle Royale,movie,Action, Adventure, Drama,2000,tt0266308,7.5,197363,KR
Max and the Junkmen,movie,Crime, Drama, Romance,1971,tt0067409,7.3,3216,BG
Mr. Brooks,movie,Crime, Drama, Mystery,2007,tt0780571,7.3,158150,AG
88 Minutes,movie,Crime, Drama, Mystery,2007,tt0411061,5.9,78893,KR
Under Siege 2: Dark Territory,movie,Action, Adventure, Thriller,1995,tt0114781,5.6,50961,PS
Emma,movie,Comedy, Drama, Romance,1996,tt0116191,6.6,42461,AD
Girl with a Pearl Earring,movie,Biography, Drama, Romance,2003,tt0335119,6.9,83484,KR
Flags of Our Fathers,movie,Action, Adventure, Drama,2006,tt0418689,7.1,130588,CH
Objective 500 Million,movie,Crime, Drama, Thriller,1966,tt0060773,6.1,271,BG
Dark Blue Almost Black,movie,Comedy, Drama, Romance,2006,tt0452971,7.1,8679,ES
Corpse Bride,movie,Animation, Comedy, Drama,2005,tt0121164,7.4,307589,BA
Ménage,movie,Comedy, Crime, Drama,1986,tt0092068,6.9,3698,CY
What Women Want,movie,Comedy, Fantasy, Romance,2000,tt0207201,6.5,226630,KR
My Girl,movie,Comedy, Drama, Family,1991,tt0102492,6.9,90996,AG
Law of Desire,movie,Comedy, Drama, Thriller,1987,tt0093412,7.1,14465,AG
The Down-in-the-Hole Gang,movie,Adventure, Comedy, Fantasy,1974,tt0070090,6.2,516,BG
The Transporter,movie,Action, Crime, Thriller,2002,tt0293662,6.8,325803,AT
Blow,movie,Biography, Crime, Drama,2001,tt0221027,7.5,278597,AU
Tell Her That I Love Her,movie,Drama, Mystery, Romance,1977,tt0075946,6.6,697,BG
Bluebeard,movie,Biography, Crime, Drama,1963,tt0056165,6.4,1263,CY
I Married a Shadow,movie,Drama, Romance, Thriller,1983,tt0084158,6.4,552,CY
Kal Ho Naa Ho,movie,Comedy, Drama, Musical,2003,tt0347304,7.9,76869,AD
La garce,movie,Crime, Drama, Thriller,1984,tt0087314,5.3,258,BG
Charlie's Angels,movie,Action, Adventure, Comedy,2000,tt0160127,5.6,198971,AG
The Kingdom,movie,Action, Drama, Thriller,2007,tt0431197,7,133588,AD
The Brave One,movie,Action, Crime, Drama,2007,tt0476964,6.7,64159,CH
Les Misérables,movie,Crime, Drama, Romance,1998,tt0119683,7.4,43808,AL
Asoka,movie,Action, Biography, Drama,2001,tt0249371,6.4,15511,AD
My Super Ex-Girlfriend,movie,Comedy, Romance, Sci-Fi,2006,tt0465624,5.2,67634,TN
Legends of the Fall,movie,Drama, Romance, War,1994,tt0110322,7.5,187380,AD
The Devil's Own,movie,Action, Crime, Drama,1997,tt0118972,6.2,73059,US
Diva,movie,Crime, Music, Thriller,1981,tt0082269,7.1,14515,BG
The Assassination of Jesse James by the Coward Robert Ford,movie,Biography, Crime, Drama,2007,tt0443680,7.5,195566,BE
30 Days of Night,movie,Action, Horror, Thriller,2007,tt0389722,6.6,192717,BG
Panic Room,movie,Crime, Drama, Thriller,2002,tt0258000,6.8,302255,DZ
Lady Vengeance,movie,Crime, Drama, Thriller,2005,tt0451094,7.5,87670,KR
A Tale of Two Sisters,movie,Drama, Horror, Mystery,2003,tt0365376,7.1,69822,KR
Sex and the City,movie,Comedy, Drama, Romance,2008,tt1000774,5.7,128973,AD
Michael Clayton,movie,Crime, Drama, Mystery,2007,tt0465538,7.2,175934,CA
"Lust, Caution",movie,Drama, History, Romance,2007,tt0808357,7.5,46238,KR
Armored,movie,Action, Crime, Mystery,2009,tt0913354,5.7,32137,AT
The Sum of All Fears,movie,Action, Drama, Thriller,2002,tt0164184,6.5,126461,AG
Hot Fuzz,movie,Action, Comedy, Mystery,2007,tt0425112,7.8,544550,FJ
Sympathy for Mr. Vengeance,movie,Crime, Drama, Thriller,2002,tt0310775,7.5,76502,KR
Du bist nicht allein,movie,Comedy, Drama, Romance,2007,tt1034388,6.4,331,AT
Gone Baby Gone,movie,Crime, Drama, Mystery,2007,tt0452623,7.6,297946,CA
Layer Cake,movie,Action, Crime, Drama,2004,tt0375912,7.3,199516,AD
"Farewell, Friend",movie,Action, Crime, Drama,1968,tt0062639,6.7,4322,BG
Confessions of a Dangerous Mind,movie,Biography, Comedy, Crime,2002,tt0270288,7,92920,CA
The Curious Case of Benjamin Button,movie,Drama, Fantasy, Romance,2008,tt0421715,7.8,708275,AD
Howl's Moving Castle,movie,Adventure, Animation, Family,2004,tt0347149,8.2,465907,AD
The International,movie,Action, Crime, Drama,2009,tt0963178,6.5,101397,AD
Gothika,movie,Horror, Mystery, Thriller,2003,tt0348836,5.8,120801,AZ
American Gangster,movie,Biography, Crime, Drama,2007,tt0765429,7.8,462102,AD
Sky Captain and the World of Tomorrow,movie,Action, Adventure, Mystery,2004,tt0346156,6.1,88126,US
Rush Hour 3,movie,Action, Comedy, Crime,2007,tt0293564,6.2,187262,AD
Rush Hour 2,movie,Action, Comedy, Crime,2001,tt0266915,6.7,244489,AD
3:10 to Yuma,movie,Action, Crime, Drama,2007,tt0381849,7.6,337322,AT
The Polar Express,movie,Adventure, Animation, Comedy,2004,tt0338348,6.6,246589,AD
The Band's Visit,movie,Comedy, Drama, Music,2007,tt1032856,7.5,14295,IL
Chaos,movie,Action, Crime, Drama,2005,tt0402910,6.4,58619,AE
"I'm a Cyborg, But That's OK",movie,Comedy, Drama, Romance,2006,tt0497137,6.9,26196,KR
Battlefield Earth,movie,Action, Adventure, Sci-Fi,2000,tt0185183,2.5,83933,IN
The Fugitive,movie,Action, Crime, Drama,1993,tt0106977,7.8,325999,BE
Traitement de choc,movie,Crime, Drama, Horror,1973,tt0070827,6.1,1884,BG
