title,type,genres1,genres2,genres3,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries1
Don 2,movie,Action, Crime, Thriller,2011,tt1285241,7.1,59177,AE
Men in Black³,movie,Action, Adventure, Comedy,2012,tt1409024,6.8,394212,AG
Always: Sunset on Third Street 2,movie,Comedy, Drama, Family,2007,tt0953981,7.5,1140,JP
Love Now,movie,Adventure, Drama, Romance,2007,tt1159223,6,428,KR
Step Up 3D,movie,Drama, Music, Romance,2010,tt1193631,6.2,60815,AT
A Better Tomorrow III: Love and Death in Saigon,movie,Action, Crime, War,1989,tt0098691,5.9,3762,HK
Faster,movie,Action, Crime, Drama,2010,tt1433108,6.4,113039,AD
The President's Last Bang,movie,Comedy, Drama, History,2005,tt0445396,6.9,1600,KR
From Beijing with Love,movie,Action, Comedy, Thriller,1994,tt0109962,7.1,8067,HK
Let Me In,movie,Drama, Fantasy, Horror,2010,tt1228987,7.1,129049,AD
The Sword with No Name,movie,Action, Drama, History,2009,tt1465518,6.2,1213,KR
One Piece: Strong World,movie,Action, Adventure, Animation,2009,tt1485763,7.5,7516,AR
Dhan Dhana Dhan Goal,movie,Drama, Sport, Thriller,2007,tt1120897,5.1,2926,AD
The Smurfs,movie,Adventure, Animation, Comedy,2011,tt0472181,5.4,98554,AD
Sunny,movie,Drama, Music, Romance,2008,tt1275830,6.4,461,KR
Colonel Chabert,movie,Drama, History, Romance,1994,tt0109454,6.9,2105,CY
The Accompanist,movie,Drama, Music, Romance,1992,tt0103616,6.9,1021,BG
Tous les matins du monde,movie,Biography, Drama, History,1991,tt0103110,7.5,8055,BG
Uranus,movie,Comedy, Drama, History,1990,tt0100851,7,1538,AD
Once a Gangster,movie,Action, Comedy, Crime,2010,tt1611840,5.7,565,AD
Love in a Puff,movie,Comedy, Drama, Romance,2010,tt1602479,7.1,2946,TZ
Sugar Baby,movie,Comedy, Drama, Romance,1985,tt0090377,6.6,992,BG
Entre Nous,movie,Biography, Drama, Romance,1983,tt0085370,7,2321,BG
City on Fire,movie,Action, Crime, Drama,1987,tt0093435,7,7446,HK
Céleste,movie,Biography, Drama, History,1980,tt0082225,6.8,294,BG
Un si joli village...,movie,Crime, Drama, Mystery,1979,tt0078441,6.4,171,BG
Burlesque,movie,Drama, Music, Musical,2010,tt1126591,6.4,94645,AD
My Wife Is a Gangster 3,movie,Action, Comedy, Drama,2006,tt0439654,6.3,1852,KR
Suspect X,movie,Crime, Drama, Mystery,2008,tt1160629,7.4,4147,JP
Wee Geordie,movie,Comedy, Drama, Romance,1955,tt0048112,6.8,942,CY
The Girl by the Lake,movie,Drama, Mystery, Thriller,2007,tt0770829,6.5,3946,IT
The Final Programme,movie,Comedy, Fantasy, Sci-Fi,1973,tt0070289,5.4,1113,BG
Skyline,movie,Action, Sci-Fi, Thriller,2010,tt1564585,4.5,92782,AU
Diabolically Yours,movie,Crime, Drama, Thriller,1967,tt0061568,6,1955,BG
The Love Lottery,movie,Comedy, Musical, Romance,1954,tt0046013,5.4,362,PT
How Do You Know,movie,Comedy, Drama, Romance,2010,tt1341188,5.4,55341,AE
Arthur 3: The War of the Two Worlds,movie,Adventure, Animation, Family,2010,tt0940656,5.5,10681,CA
The Nun,movie,Drama, Horror, Thriller,2005,tt0371853,4.1,3611,ES
The Elusive Corporal,movie,Comedy, Drama, War,1962,tt0055827,7,1065,CY
The Colossus of Rhodes,movie,Adventure, Drama, History,1961,tt0054756,5.8,4355,DK
Konga,movie,Horror, Sci-Fi, Thriller,1961,tt0055058,4.5,2208,CY
SuperBrother,movie,Adventure, Drama, Fantasy,2009,tt1285313,5.8,284,AT
Ghostbusters,movie,Action, Comedy, Fantasy,2016,tt1289401,6.8,250618,DZ
Yuva,movie,Action, Drama, Thriller,2004,tt0382383,7.3,9479,AE
Carlos,movie,Biography, Crime, Drama,2010,tt1321865,7.6,14558,BG
Scott of the Antarctic,movie,Action, Adventure, Biography,1948,tt0040761,7,2491,CY
Monsieur Vincent,movie,Biography, Drama, History,1947,tt0039632,7,1037,CY
The Next Three Days,movie,Action, Crime, Drama,2010,tt1458175,7.3,209308,AE
The Little Devil,movie,Comedy, Fantasy, Romance,1988,tt0095869,6.9,4168,IT
La Marseillaise,movie,Drama, History, Music,1938,tt0030424,7,1432,BG
Nee Dtaam Galileo,movie,Comedy, Drama, Romance,2009,tt1865460,6.6,411,TH
"Tomorrow, When the War Began",movie,Action, Adventure, Drama,2010,tt1456941,6.1,32213,CA
Flipped,movie,Comedy, Drama, Romance,2010,tt0817177,7.7,99723,BE
Soul Surfer,movie,Biography, Drama, Family,2011,tt1596346,7,53726,AE
Nang Nak,movie,Action, Horror, Romance,1999,tt0217680,6.5,1950,AG
Chaos,movie,Comedy, Crime, Drama,2001,tt0265116,7,2531,BG
Triple Tap,movie,Action, Drama, Mystery,2010,tt1535495,6.2,1613,TW
Dragon Ball Z: Broly - Second Coming,movie,Action, Adventure, Animation,1994,tt0142239,6.5,6387,JP
The Tales of Hoffmann,movie,Fantasy, Music, Musical,1951,tt0044103,7.1,4077,BG
Carnage,movie,Comedy, Drama, Romance,2002,tt0280523,6.1,749,BG
Hellphone,movie,Comedy, Fantasy, Horror,2007,tt0775480,5.1,2034,DK
Seasons change: Phror arkad plian plang boi,movie,Comedy, Drama, Music,2006,tt0880477,7.6,1003,TH
Animal Kingdom,movie,Crime, Drama, Thriller,2010,tt1313092,7.2,61270,AU
One Piece: Chopper's Kingdom in the Strange Animal Island,movie,Action, Adventure, Animation,2002,tt0997084,6.2,2404,JP
One Piece: Dead End Adventure,movie,Action, Adventure, Animation,2003,tt1006926,7.2,2929,JP
One Piece: The Cursed Holy Sword,movie,Action, Adventure, Animation,2004,tt1010435,6.5,2588,JP
One Piece: Baron Omatsuri and the Secret Island,movie,Action, Adventure, Animation,2005,tt1018764,7.2,3360,JP
One Piece: The Giant Mechanical Soldier of Karakuri Castle,movie,Action, Animation, Comedy,2006,tt1059950,6.4,1988,JP
"One Piece: Episode of Chopper Plus - Bloom in the Winter, Miracle Sakura",movie,Action, Animation, Comedy,2008,tt1206326,6.9,1795,AR
Race 2,movie,Action, Crime, Thriller,2013,tt1375789,5.4,17759,AD
Battleship,movie,Action, Adventure, Sci-Fi,2012,tt1440129,5.8,260407,AD
The Grandmaster,movie,Action, Biography, Drama,2013,tt1462900,6.6,37250,KR
Green Lantern,movie,Action, Adventure, Sci-Fi,2011,tt1133985,5.5,299864,GB
Battle Los Angeles,movie,Action, Adventure, Sci-Fi,2011,tt1217613,5.7,186368,AT
Trust,movie,Crime, Drama, Mystery,2010,tt1529572,6.9,44649,US
